timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2026/06/18 07:43:10.180, 74249, 97887, 100
2026/06/18 07:43:11.180, 74249, 97887, 69
2026/06/18 07:43:12.181, 74249, 97887, 100
2026/06/18 07:43:13.181, 74249, 97887, 100
2026/06/18 07:43:14.182, 74249, 97887, 68
2026/06/18 07:43:15.182, 74249, 97887, 100
2026/06/18 07:43:16.183, 74249, 97887, 85
2026/06/18 07:43:17.183, 74249, 97887, 85
2026/06/18 07:43:18.183, 74249, 97887, 100
2026/06/18 07:43:19.184, 74249, 97887, 69
2026/06/18 07:43:20.184, 74249, 97887, 100
2026/06/18 07:43:21.185, 74249, 97887, 100
2026/06/18 07:43:22.185, 74249, 97887, 65
2026/06/18 07:43:23.186, 74249, 97887, 100
2026/06/18 07:43:24.186, 74249, 97887, 100
2026/06/18 07:43:25.187, 74249, 97887, 68
2026/06/18 07:43:26.187, 74249, 97887, 100
2026/06/18 07:43:27.188, 74249, 97887, 100
2026/06/18 07:43:28.188, 74249, 97887, 71
2026/06/18 07:43:29.189, 74249, 97887, 98
2026/06/18 07:43:30.189, 74249, 97887, 100
2026/06/18 07:43:31.190, 74249, 97887, 68
2026/06/18 07:43:32.190, 74249, 97887, 74
2026/06/18 07:43:33.191, 74249, 97887, 64
2026/06/18 07:43:34.192, 74249, 97887, 5
2026/06/18 07:43:35.192, 74249, 97887, 6
2026/06/18 07:43:36.192, 74249, 97887, 0
2026/06/18 07:43:37.193, 74249, 97887, 0
2026/06/18 07:43:38.193, 74249, 97887, 0
2026/06/18 07:43:39.194, 74249, 97887, 0
2026/06/18 07:43:40.194, 74249, 97887, 100
2026/06/18 07:43:41.195, 74249, 97887, 97
2026/06/18 07:43:42.195, 74249, 97887, 100
2026/06/18 07:43:43.196, 74249, 97887, 100
